unique_key,created_date,agency,agency_name,complaint_type,descriptor,incident_zip,intersection_street_1,intersection_street_2,address_type,city,facility_type,status,resolution_description,resolution_action_updated_date,community_board,borough,x_coordinate_state_plane,y_coordinate_state_plane,open_data_channel_type,park_facility_name,park_borough,latitude,longitude,location,:@computed_region_efsh_h5xi,:@computed_region_f5dn_yrer,:@computed_region_yeji_bk3q,:@computed_region_92fq_4b7q,:@computed_region_sbqj_enih,:@computed_region_7mpf_4k6g,incident_address,street_name,cross_street_1,cross_street_2,bbl,location_type,landmark,vehicle_type,closed_date,due_date,taxi_company_borough,taxi_pick_up_location,bridge_highway_name,bridge_highway_direction,road_ramp,bridge_highway_segment
61276295,2024-05-27T02:08:51.000,DOT,Department of Transportation,Street Condition,Pothole,10033.0,ST NICHOLAS AVENUE,WEST 178 STREET,INTERSECTION,MANHATTAN,N/A,Open,The Department of Transportation referred this complaint to the appropriate Maintenance Unit for repair.,2024-05-27T02:08:51.000,12 MANHATTAN,MANHATTAN,1002186.0,247999.0,UNKNOWN,Unspecified,MANHATTAN,40.84735682050765,-73.93517137747149,"{'latitude': '40.84735682050765', 'longitude': '-73.93517137747149', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",13091.0,47.0,4.0,39.0,21.0,21.0,,,,,,,,,,,,,,,,
61279486,2024-05-27T01:27:34.000,DOT,Department of Transportation,Street Condition,Pothole,11373.0,,,BLOCKFACE,QUEENS,N/A,Open,The Department of Transportation referred this complaint to the appropriate Maintenance Unit for repair.,2024-05-27T01:27:34.000,04 QUEENS,QUEENS,,,UNKNOWN,Unspecified,QUEENS,,,,,,,,,,QUEENS BOULEVARD,QUEENS BOULEVARD,74 STREET,76 STREET,,,,,,,,,,,,
61279487,2024-05-27T01:15:07.000,DOT,Department of Transportation,Street Condition,Pothole,11373.0,,,BLOCKFACE,QUEENS,N/A,Open,The Department of Transportation referred this complaint to the appropriate Maintenance Unit for repair.,2024-05-27T01:15:07.000,06 QUEENS,QUEENS,,,UNKNOWN,Unspecified,QUEENS,,,,,,,,,,WOODHAVEN BOULEVARD,WOODHAVEN BOULEVARD,60 DRIVE,ELIOT AVENUE,,,,,,,,,,,,
61278423,2024-05-27T01:01:33.000,DOT,Department of Transportation,Street Condition,Pothole,11237.0,HALSEY STREET,WYCKOFF AVENUE,INTERSECTION,BROOKLYN,N/A,Open,The Department of Transportation referred this complaint to the appropriate Maintenance Unit for repair.,2024-05-27T01:01:33.000,04 BROOKLYN,BROOKLYN,1010592.0,192906.0,UNKNOWN,Unspecified,BROOKLYN,40.69611997550678,-73.90500435118646,"{'latitude': '40.69611997550678', 'longitude': '-73.90500435118646', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",15310.0,54.0,2.0,30.0,62.0,62.0,,,,,,,,,,,,,,,,
61272587,2024-05-27T00:54:00.000,DOT,Department of Transportation,Street Light Condition,Street Light Out,10465.0,,,ADDRESS,BRONX,,Open,,,10 BRONX,BRONX,1032656.0,247185.0,UNKNOWN,Unspecified,BRONX,40.84500816813156,-73.8250454222872,"{'latitude': '40.84500816813156', 'longitude': '-73.8250454222872', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",11270.0,43.0,5.0,12.0,28.0,28.0,1530 MACDONOUGH PLACE,MACDONOUGH PLACE,BRUCKNER BLVD,MIDDLETOWN RD,2054110210.0,,,,,,,,,,,
61279591,2024-05-27T00:51:15.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,11236.0,EAST  103 STREET,EAST  104 STREET,ADDRESS,BROOKLYN,,In Progress,,2024-05-27T01:33:29.000,18 BROOKLYN,BROOKLYN,1014141.0,173707.0,ONLINE,Unspecified,BROOKLYN,40.643411775823665,-73.89229093996875,"{'latitude': '40.643411775823665', 'longitude': '-73.89229093996875', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",13827.0,5.0,2.0,8.0,42.0,42.0,10318 AVENUE K,AVENUE K,EAST  103 STREET,EAST  104 STREET,3082490041.0,Residential Building/House,AVENUE K,,,,,,,,,
61278719,2024-05-27T00:51:14.000,DSNY,Department of Sanitation,Commercial Disposal Complaint,Waste Disposal,11216.0,NOSTRAND AVENUE,PACIFIC STREET,INTERSECTION,,,In Progress,,,08 BROOKLYN,BROOKLYN,998183.0,186167.0,ONLINE,Unspecified,BROOKLYN,40.67765120434446,-73.94976814040464,"{'latitude': '40.67765120434446', 'longitude': '-73.94976814040464', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",17618.0,16.0,2.0,49.0,49.0,49.0,NOSTRAND AVENUE,NOSTRAND AVENUE,NOSTRAND AVENUE,PACIFIC STREET,,Retail Store,,,,,,,,,,
61277512,2024-05-27T00:50:45.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Talking,10027.0,ST NICHOLAS TERRACE,CONVENT AVENUE,ADDRESS,NEW YORK,,In Progress,,2024-05-27T01:00:53.000,09 MANHATTAN,MANHATTAN,997435.0,235247.0,MOBILE,Unspecified,MANHATTAN,40.812364611331716,-73.95236864734623,"{'latitude': '40.812364611331716', 'longitude': '-73.95236864734623', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",12424.0,37.0,4.0,36.0,17.0,17.0,362 WEST  127 STREET,WEST  127 STREET,ST NICHOLAS TERRACE,CONVENT AVENUE,1019537504.0,Street/Sidewalk,WEST  127 STREET,,,,,,,,,
61278537,2024-05-27T00:50:29.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,11206.0,MESEROLE STREET,SCHOLES STREET,ADDRESS,BROOKLYN,,In Progress,,2024-05-27T01:49:42.000,01 BROOKLYN,BROOKLYN,999479.0,197309.0,ONLINE,Unspecified,BROOKLYN,40.70823127714122,-73.94507055672965,"{'latitude': '40.70823127714122', 'longitude': '-73.94507055672965', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",17213.0,36.0,2.0,30.0,56.0,56.0,153 MANHATTAN AVENUE,MANHATTAN AVENUE,MESEROLE STREET,SCHOLES STREET,3030427501.0,Residential Building/House,MANHATTAN AVENUE,,,,,,,,,
61275412,2024-05-27T00:50:20.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,10040.0,FAIRVIEW AVENUE,WEST  192 STREET,ADDRESS,NEW YORK,,In Progress,,2024-05-27T01:04:45.000,12 MANHATTAN,MANHATTAN,1002992.0,251683.0,MOBILE,Unspecified,MANHATTAN,40.85746662921292,-73.93224783980567,"{'latitude': '40.85746662921292', 'longitude': '-73.93224783980567', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",13098.0,47.0,4.0,39.0,22.0,22.0,4469 BROADWAY,BROADWAY,FAIRVIEW AVENUE,WEST  192 STREET,1021800513.0,Street/Sidewalk,BROADWAY,,,,,,,,,
